duplicate_id,canonical_query_id,duplicate_query_id,match_type,match_confidence,merge_decision,reason,reviewer,reviewed_at
dup-0090,dq-0056,dq-0142,canonical_query_key,high,merge,Same canonical query key: principles buyability why strong deals stall separates vendors who get chosen,automation,2026-06-19T16:02:32.950Z
dup-0091,dq-0001,dq-0143,canonical_query_key,high,merge,Same canonical query key: employee-generated content,automation,2026-06-19T16:02:32.950Z
dup-0092,dq-0001,dq-0144,canonical_query_key,high,merge,Same canonical query key: employee-generated content,automation,2026-06-19T16:02:32.950Z
dup-0093,dq-0001,dq-0145,canonical_query_key,high,merge,Same canonical query key: employee-generated content,automation,2026-06-19T16:02:32.950Z
dup-0094,dq-0001,dq-0146,canonical_query_key,high,merge,Same canonical query key: employee-generated content,automation,2026-06-19T16:02:32.950Z
dup-0095,dq-0005,dq-0147,canonical_query_key,high,merge,Same canonical query key: employee-generated content examples b2b,automation,2026-06-19T16:02:32.950Z
dup-0096,dq-0005,dq-0148,canonical_query_key,high,merge,Same canonical query key: employee-generated content examples b2b,automation,2026-06-19T16:02:32.950Z
dup-0097,dq-0005,dq-0149,canonical_query_key,high,merge,Same canonical query key: employee-generated content examples b2b,automation,2026-06-19T16:02:32.950Z
dup-0098,dq-0008,dq-0150,canonical_query_key,high,merge,Same canonical query key: measure employee-generated content beyond impressions,automation,2026-06-19T16:02:32.950Z
dup-0099,dq-0008,dq-0151,canonical_query_key,high,merge,Same canonical query key: measure employee-generated content beyond impressions,automation,2026-06-19T16:02:32.950Z
dup-0100,dq-0010,dq-0152,canonical_query_key,high,merge,Same canonical query key: employee-generated content employee advocacy,automation,2026-06-19T16:02:32.950Z
dup-0101,dq-0010,dq-0153,canonical_query_key,high,merge,Same canonical query key: employee-generated content employee advocacy,automation,2026-06-19T16:02:32.950Z
dup-0102,dq-0010,dq-0154,canonical_query_key,high,merge,Same canonical query key: employee-generated content employee advocacy,automation,2026-06-19T16:02:32.950Z
dup-0103,dq-0013,dq-0155,canonical_query_key,high,merge,Same canonical query key: employee-generated content it different employee advocacy,automation,2026-06-19T16:02:32.950Z
dup-0104,dq-0014,dq-0156,canonical_query_key,high,merge,Same canonical query key: employee-generated content different employee advocacy,automation,2026-06-19T16:02:32.950Z
dup-0105,dq-0015,dq-0157,canonical_query_key,high,merge,Same canonical query key: do you turn employee expertise into useful linkedin posts,automation,2026-06-19T16:02:32.950Z
dup-0106,dq-0016,dq-0158,canonical_query_key,high,merge,Same canonical query key: good examples employee-generated content in b2b,automation,2026-06-19T16:02:32.950Z
dup-0107,dq-0017,dq-0159,canonical_query_key,high,merge,Same canonical query key: b2b teams measure employee-generated content beyond impressions,automation,2026-06-19T16:02:32.950Z
dup-0108,dq-0018,dq-0160,canonical_query_key,high,merge,Same canonical query key: can b2b teams learn clay lovable gitlab s public content loops,automation,2026-06-19T16:02:32.950Z
dup-0109,dq-0019,dq-0161,canonical_query_key,high,merge,Same canonical query key: b2b sales teams build linkedin content infrastructure,automation,2026-06-19T16:02:32.950Z
dup-0110,dq-0020,dq-0162,canonical_query_key,high,merge,Same canonical query key: sales outreach tools that integrate your crm our favorite picks 2026,automation,2026-06-19T16:02:32.950Z
dup-0111,dq-0021,dq-0163,canonical_query_key,high,merge,Same canonical query key: future ai in customer relationship management s coming next,automation,2026-06-19T16:02:32.950Z
dup-0112,dq-0022,dq-0164,canonical_query_key,high,merge,Same canonical query key: real ai crm use cases driving revenue growth in 2025,automation,2026-06-19T16:02:32.950Z
dup-0113,dq-0023,dq-0165,canonical_query_key,high,merge,Same canonical query key: 5 ai crms real estate agents 2026 roundup,automation,2026-06-19T16:02:32.950Z
dup-0114,dq-0024,dq-0166,canonical_query_key,high,merge,Same canonical query key: ai agent plain-english guide,automation,2026-06-19T16:02:32.950Z
dup-0115,dq-0025,dq-0167,canonical_query_key,high,merge,Same canonical query key: 10 seo trends i ve seen firsthand in 2026 data,automation,2026-06-19T16:02:32.950Z
dup-0116,dq-0026,dq-0168,canonical_query_key,high,merge,Same canonical query key: why category entry points belong in every ai search strategy,automation,2026-06-19T16:02:32.950Z
dup-0117,dq-0027,dq-0169,canonical_query_key,high,merge,Same canonical query key: prove incremental marketing impact linkedin s new tools,automation,2026-06-19T16:02:32.950Z
dup-0118,dq-0028,dq-0170,canonical_query_key,high,merge,Same canonical query key: automated seo it it works in 2026,automation,2026-06-19T16:02:32.950Z
dup-0119,dq-0029,dq-0171,canonical_query_key,high,merge,Same canonical query key: teams review employee-generated content without making it generic,automation,2026-06-19T16:02:32.950Z
dup-0120,dq-0030,dq-0172,canonical_query_key,high,merge,Same canonical query key: every employee post linkedin,automation,2026-06-19T16:02:32.950Z
dup-0121,dq-0031,dq-0173,canonical_query_key,high,merge,Same canonical query key: 9 ways improve seo rankings traffic,automation,2026-06-19T16:02:32.950Z
dup-0122,dq-0032,dq-0174,canonical_query_key,high,merge,Same canonical query key: new guide prove value b2b marketing,automation,2026-06-19T16:02:32.950Z
dup-0123,dq-0033,dq-0175,canonical_query_key,high,merge,Same canonical query key: ai perception-reality gap,automation,2026-06-19T16:02:32.950Z
dup-0124,dq-0034,dq-0176,canonical_query_key,high,merge,Same canonical query key: do answer engines decide which b2b content cite,automation,2026-06-19T16:02:32.950Z
dup-0125,dq-0035,dq-0177,canonical_query_key,high,merge,Same canonical query key: introducing search generative ai performance reports in search console,automation,2026-06-19T16:02:32.950Z
dup-0126,dq-0036,dq-0178,canonical_query_key,high,merge,Same canonical query key: new resource optimizing generative ai in google search,automation,2026-06-19T16:02:32.950Z
dup-0127,dq-0037,dq-0179,canonical_query_key,high,merge,Same canonical query key: 11 ways automate seo agent,automation,2026-06-19T16:02:32.950Z
dup-0128,dq-0038,dq-0180,canonical_query_key,high,merge,Same canonical query key: i use my ai marketing assistant after 200 hours,automation,2026-06-19T16:02:32.950Z
dup-0129,dq-0039,dq-0181,canonical_query_key,high,merge,Same canonical query key: we analyzed 137k sites 97 llms txt files never get read,automation,2026-06-19T16:02:32.950Z
dup-0130,dq-0040,dq-0182,canonical_query_key,high,merge,Same canonical query key: level-up seo tactician search visibility leader,automation,2026-06-19T16:02:32.950Z
dup-0131,dq-0041,dq-0183,canonical_query_key,high,merge,Same canonical query key: 9 vibe coding examples ai apps you can use right now grow your website,automation,2026-06-19T16:02:32.950Z
dup-0132,dq-0042,dq-0184,canonical_query_key,high,merge,Same canonical query key: ai sentiment analysis marketer s guide,automation,2026-06-19T16:02:32.950Z
dup-0133,dq-0043,dq-0185,canonical_query_key,high,merge,Same canonical query key: bot traffic now exceeds traffic human users,automation,2026-06-19T16:02:32.950Z
dup-0134,dq-0044,dq-0186,canonical_query_key,high,merge,Same canonical query key: 12 seo writing tips earn visibility 2026,automation,2026-06-19T16:02:32.950Z
dup-0135,dq-0045,dq-0187,canonical_query_key,high,merge,Same canonical query key: rtcamp closed ai perception gap costing them enterprise deals,automation,2026-06-19T16:02:32.950Z
dup-0136,dq-0046,dq-0188,canonical_query_key,high,merge,Same canonical query key: why 62 ai citations don t lead brand mentions study,automation,2026-06-19T16:02:32.950Z
dup-0137,dq-0047,dq-0189,canonical_query_key,high,merge,Same canonical query key: decide which ai search prompts track,automation,2026-06-19T16:02:32.950Z
dup-0138,dq-0048,dq-0190,canonical_query_key,high,merge,Same canonical query key: google s ai search optimization guide do next,automation,2026-06-19T16:02:32.950Z
dup-0139,dq-0049,dq-0191,canonical_query_key,high,merge,Same canonical query key: get indexed by chatgpt 2026,automation,2026-06-19T16:02:32.950Z
dup-0140,dq-0050,dq-0192,canonical_query_key,high,merge,Same canonical query key: faqs aeo structure answers that rank in answer engines,automation,2026-06-19T16:02:32.950Z
dup-0141,dq-0051,dq-0193,canonical_query_key,high,merge,Same canonical query key: schema markup aeo implement it boost answer engine visibility in 2026,automation,2026-06-19T16:02:32.950Z
dup-0142,dq-0052,dq-0194,canonical_query_key,high,merge,Same canonical query key: keyword research aeo guide winning answer engine traffic in 2026,automation,2026-06-19T16:02:32.950Z
dup-0143,dq-0053,dq-0195,canonical_query_key,high,merge,Same canonical query key: on-page content formats answer engines actually favor new research,automation,2026-06-19T16:02:32.950Z
dup-0144,dq-0054,dq-0196,canonical_query_key,high,merge,Same canonical query key: multiplier effect linkedin ads boosts search content pipeline,automation,2026-06-19T16:02:32.950Z
dup-0145,dq-0055,dq-0197,canonical_query_key,high,merge,Same canonical query key: fear messing up hidden emotion driving b2b decisions,automation,2026-06-19T16:02:32.950Z
dup-0146,dq-0056,dq-0198,canonical_query_key,high,merge,Same canonical query key: principles buyability why strong deals stall separates vendors who get chosen,automation,2026-06-19T16:02:32.950Z
dup-0147,dq-0057,dq-0199,canonical_query_key,high,merge,Same canonical query key: grow your ai search visibility linkedin content,automation,2026-06-19T16:02:32.950Z
dup-0148,dq-0058,dq-0200,canonical_query_key,high,merge,Same canonical query key: rank in ai search results expert practices,automation,2026-06-19T16:02:32.950Z
dup-0149,dq-0059,dq-0201,canonical_query_key,high,merge,Same canonical query key: 6 ai prospecting tools our picks 2026,automation,2026-06-19T16:02:32.950Z
dup-0150,dq-0013,dq-0202,canonical_query_key,high,merge,Same canonical query key: employee-generated content it different employee advocacy,automation,2026-06-19T16:02:32.950Z
dup-0151,dq-0014,dq-0203,canonical_query_key,high,merge,Same canonical query key: employee-generated content different employee advocacy,automation,2026-06-19T16:02:32.950Z
dup-0152,dq-0015,dq-0204,canonical_query_key,high,merge,Same canonical query key: do you turn employee expertise into useful linkedin posts,automation,2026-06-19T16:02:32.950Z
dup-0153,dq-0016,dq-0205,canonical_query_key,high,merge,Same canonical query key: good examples employee-generated content in b2b,automation,2026-06-19T16:02:32.950Z
dup-0154,dq-0017,dq-0206,canonical_query_key,high,merge,Same canonical query key: b2b teams measure employee-generated content beyond impressions,automation,2026-06-19T16:02:32.950Z
dup-0155,dq-0018,dq-0207,canonical_query_key,high,merge,Same canonical query key: can b2b teams learn clay lovable gitlab s public content loops,automation,2026-06-19T16:02:32.950Z
dup-0156,dq-0019,dq-0208,canonical_query_key,high,merge,Same canonical query key: b2b sales teams build linkedin content infrastructure,automation,2026-06-19T16:02:32.950Z
dup-0157,dq-0020,dq-0209,canonical_query_key,high,merge,Same canonical query key: sales outreach tools that integrate your crm our favorite picks 2026,automation,2026-06-19T16:02:32.950Z
dup-0158,dq-0021,dq-0210,canonical_query_key,high,merge,Same canonical query key: future ai in customer relationship management s coming next,automation,2026-06-19T16:02:32.950Z
dup-0159,dq-0022,dq-0211,canonical_query_key,high,merge,Same canonical query key: real ai crm use cases driving revenue growth in 2025,automation,2026-06-19T16:02:32.950Z
dup-0160,dq-0023,dq-0212,canonical_query_key,high,merge,Same canonical query key: 5 ai crms real estate agents 2026 roundup,automation,2026-06-19T16:02:32.950Z
dup-0161,dq-0024,dq-0213,canonical_query_key,high,merge,Same canonical query key: ai agent plain-english guide,automation,2026-06-19T16:02:32.950Z
dup-0162,dq-0025,dq-0214,canonical_query_key,high,merge,Same canonical query key: 10 seo trends i ve seen firsthand in 2026 data,automation,2026-06-19T16:02:32.950Z
dup-0163,dq-0026,dq-0215,canonical_query_key,high,merge,Same canonical query key: why category entry points belong in every ai search strategy,automation,2026-06-19T16:02:32.950Z
dup-0164,dq-0027,dq-0216,canonical_query_key,high,merge,Same canonical query key: prove incremental marketing impact linkedin s new tools,automation,2026-06-19T16:02:32.950Z
dup-0165,dq-0028,dq-0217,canonical_query_key,high,merge,Same canonical query key: automated seo it it works in 2026,automation,2026-06-19T16:02:32.950Z
dup-0166,dq-0029,dq-0218,canonical_query_key,high,merge,Same canonical query key: teams review employee-generated content without making it generic,automation,2026-06-19T16:02:32.950Z
dup-0167,dq-0030,dq-0219,canonical_query_key,high,merge,Same canonical query key: every employee post linkedin,automation,2026-06-19T16:02:32.950Z
dup-0168,dq-0031,dq-0220,canonical_query_key,high,merge,Same canonical query key: 9 ways improve seo rankings traffic,automation,2026-06-19T16:02:32.950Z
dup-0169,dq-0032,dq-0221,canonical_query_key,high,merge,Same canonical query key: new guide prove value b2b marketing,automation,2026-06-19T16:02:32.950Z
dup-0170,dq-0033,dq-0222,canonical_query_key,high,merge,Same canonical query key: ai perception-reality gap,automation,2026-06-19T16:02:32.950Z
dup-0171,dq-0034,dq-0223,canonical_query_key,high,merge,Same canonical query key: do answer engines decide which b2b content cite,automation,2026-06-19T16:02:32.950Z
dup-0172,dq-0035,dq-0224,canonical_query_key,high,merge,Same canonical query key: introducing search generative ai performance reports in search console,automation,2026-06-19T16:02:32.950Z
dup-0173,dq-0036,dq-0225,canonical_query_key,high,merge,Same canonical query key: new resource optimizing generative ai in google search,automation,2026-06-19T16:02:32.950Z
dup-0174,dq-0037,dq-0226,canonical_query_key,high,merge,Same canonical query key: 11 ways automate seo agent,automation,2026-06-19T16:02:32.950Z
dup-0175,dq-0038,dq-0227,canonical_query_key,high,merge,Same canonical query key: i use my ai marketing assistant after 200 hours,automation,2026-06-19T16:02:32.950Z
dup-0176,dq-0039,dq-0228,canonical_query_key,high,merge,Same canonical query key: we analyzed 137k sites 97 llms txt files never get read,automation,2026-06-19T16:02:32.950Z
dup-0177,dq-0040,dq-0229,canonical_query_key,high,merge,Same canonical query key: level-up seo tactician search visibility leader,automation,2026-06-19T16:02:32.950Z
dup-0178,dq-0041,dq-0230,canonical_query_key,high,merge,Same canonical query key: 9 vibe coding examples ai apps you can use right now grow your website,automation,2026-06-19T16:02:32.950Z
dup-0179,dq-0042,dq-0231,canonical_query_key,high,merge,Same canonical query key: ai sentiment analysis marketer s guide,automation,2026-06-19T16:02:32.950Z
dup-0180,dq-0043,dq-0232,canonical_query_key,high,merge,Same canonical query key: bot traffic now exceeds traffic human users,automation,2026-06-19T16:02:32.950Z
dup-0181,dq-0044,dq-0233,canonical_query_key,high,merge,Same canonical query key: 12 seo writing tips earn visibility 2026,automation,2026-06-19T16:02:32.950Z
dup-0182,dq-0045,dq-0234,canonical_query_key,high,merge,Same canonical query key: rtcamp closed ai perception gap costing them enterprise deals,automation,2026-06-19T16:02:32.950Z
dup-0183,dq-0046,dq-0235,canonical_query_key,high,merge,Same canonical query key: why 62 ai citations don t lead brand mentions study,automation,2026-06-19T16:02:32.950Z
