captured_at,topic,intent,source_count,max_score,evidence_use,recommended_next_action
2026-06-19T06:18:16.250Z,we analyzed 137k sites 97 of llms txt files never get read,other,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,how to level-up from seo tactician to search visibility leader,how_to,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,9 vibe coding examples ai apps you can use right now to grow your website,examples,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,what is ai sentiment analysis a marketer s guide,definition,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,bot traffic now exceeds traffic from human users,measurement,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,12 seo writing tips to earn visibility 2026,measurement,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,how rtcamp closed the ai perception gap costing them enterprise deals,other,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,why 62 of ai citations don t lead to brand mentions study,measurement,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,how to decide which ai search prompts to track,how_to,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,google s ai search optimization guide what to do next,other,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,how to get indexed by chatgpt 2026,how_to,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,faqs for aeo how to structure answers that rank in answer engines,how_to,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,schema markup for aeo how to implement it to boost answer engine visibility in 2026,how_to,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,keyword research for aeo a guide for winning answer engine traffic in 2026,measurement,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,on-page content formats answer engines actually favor new research,other,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,the multiplier effect how linkedin ads boosts search content and pipeline,other,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,fear of messing up the hidden emotion driving b2b decisions,other,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,the principles of buyability why strong deals stall and what separates the vendors who get chosen,vendor_evaluation,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,how to grow your ai search visibility with linkedin content,how_to,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,how to rank in ai search results expert best practices,how_to,6,50,discovery_only,monitor_until_stronger_signal
2026-06-19T06:18:16.250Z,6 best ai prospecting tools our picks for 2026,vendor_evaluation,6,50,discovery_only,monitor_until_stronger_signal
